Permit,Region,Land Owner,Unit,Legal,Acres,Proposed Tons,Accomplished Tons,Approval,Comments,datestamp,Latitude,Longitude,DNR_Pilot,datetime
OL20160147,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T31N R15W S1,24,148,148,Y,,10-18-2016,48.217125,-124.569146,FALSE,2016-10-18T07:00:00Z
OL20160150,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T31N R15W S10,66,378,378,Y,,10-18-2016,48.204019,-124.613139,FALSE,2016-10-18T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,65,350,0,N,,10-18-2016,47.917777,-124.38618,FALSE,2016-10-18T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,90,405,0,N,,10-18-2016,47.917777,-124.38618,FALSE,2016-10-18T07:00:00Z
OL20160068,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T30N R14W S16,60,105,105,Y,,10-18-2016,48.102544,-124.507005,FALSE,2016-10-18T07:00:00Z
OL20160069,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T30N R14W S10,80,175,175,Y,,10-18-2016,48.11694,-124.485647,FALSE,2016-10-18T07:00:00Z
OL20160070,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T30N R14W S15,90,320,320,Y,,10-18-2016,48.10237,-124.485636,FALSE,2016-10-18T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,90,Y,,10-18-2016,46.498122,-122.084049,FALSE,2016-10-18T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,Y,,10-18-2016,46.436456,-122.230388,FALSE,2016-10-18T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,0,Y,,10-18-2016,46.422169,-122.208818,FALSE,2016-10-18T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,0,Y,,10-18-2016,46.422082,-122.230237,FALSE,2016-10-18T07:00:00Z
SE20160068,SE REGION,BROUGHTON LUMBER COMPANY,SWISH,T5N R13E S27,98,549,450,Y,,10-18-2016,45.890955,-121.165131,FALSE,2016-10-18T07:00:00Z
SE20150522,SE REGION,STEVENSON LAND COMPANY,STEVENSON LAND COMPANY,T4N R12E S30,70,296,99,Y,,10-18-2016,45.804348,-121.353222,FALSE,2016-10-18T07:00:00Z
SE20150425,SE REGION,WA DNR STATE TRUST LANDS,SNAG SALVAGE - 183 PILES,T19N R19E S26,400,600,165,Y,,10-18-2016,47.110696,-120.423107,FALSE,2016-10-18T07:00:00Z
SP20160076,SPS REGION,PORT BLAKELEY TREE FARM,MISS AGAIN HI,T15N R4W S24,52,112,0,Y,,10-18-2016,46.771241,-123.1293,FALSE,2016-10-18T07:00:00Z
10002332,US FISH AND,LITTLE PEND OREILLE NWR,RHYMER WEIR GRAPPLE PILES,T34N R40E S10,150,600,NA,Y,,10-18-2016,48.4457,-117.4446,FALSE,2016-10-18T07:00:00Z
10002430,COLVILLE NF,SULLIVAN LAKE,HANLON GRAPPLE PILES,T36N R44E S14,35,200,NA,Y,,10-19-2016,48.617697,-117.207651,FALSE,2016-10-19T07:00:00Z
10002431,COLVILLE NF,SULLIVAN LAKE,SCOTCHMAN GRAPPLE PILES,T36N R44E S18,35,200,NA,Y,,10-19-2016,48.617148,-117.300582,FALSE,2016-10-19T07:00:00Z
10002403,COLVILLE NF,THREE RIVERS,ROGERS GRAPPLE PILES,T38N R40E S15,120,1452,150,Y,,10-19-2016,48.713779,-117.736028,FALSE,2016-10-19T07:00:00Z
NE20150418,NE REGION,MERRITT BROS LUMBER CO INC,,T30N R45E S7,50,100,0,Y,Approved with no conditions per AR 10 - Stenbeck,10-19-2016,48.111453,-117.164567,FALSE,2016-10-19T07:00:00Z
NE20160271,NE REGION,STIMSON LUMBER COMPANY,COWBOY UP,T31N R42E S12,2,596,0,Y,Approved with no conditions per AR 10 - Stenbeck,10-19-2016,48.20178,-117.448249,FALSE,2016-10-19T07:00:00Z
NE20160274,NE REGION,STIMSON LUMBER COMPANY,BUCKAROO,T32N R42E S12,1,130,37,Y,Approved with no conditions per AR 10 - Stenbeck,10-19-2016,48.288411,-117.446027,FALSE,2016-10-19T07:00:00Z
10002306,OKANOGAN NF,TONASKET,FROSTED EXC,T36N R31E S8,100,300,0,,,10-19-2016,48.624906,-118.967348,FALSE,2016-10-19T07:00:00Z
OL20160186,OLY REGION,CITY OF MONTESANO,B100,T18N R7W S31,101,329,NA,Y,,10-19-2016,47.002208,-123.604345,FALSE,2016-10-19T07:00:00Z
OL20160193,OLY REGION,GREEN CROW CORPORATION,6009 1,T20N R11W S16,31,214,0,Y,,10-19-2016,47.222681,-124.056225,FALSE,2016-10-19T07:00:00Z
OL20160194,OLY REGION,GREEN CROW CORPORATION,6009,T20N R11W S16,48,304,0,Y,,10-19-2016,47.222681,-124.056225,FALSE,2016-10-19T07:00:00Z
OL20160195,OLY REGION,GREEN CROW CORPORATION,6009 3,T20N R11W S16,56,469,NA,Y,,10-19-2016,47.222681,-124.056225,FALSE,2016-10-19T07:00:00Z
OL20160164,OLY REGION,GREEN CROW TIMBER,,T31N R15W S21,27,154,50,Y,,10-19-2016,48.174982,-124.635788,FALSE,2016-10-19T07:00:00Z
OL20160169,OLY REGION,GREEN CROW TIMBER,,T31N R15W S17,50,168,50,Y,,10-19-2016,48.189617,-124.657292,FALSE,2016-10-19T07:00:00Z
OL20160174,OLY REGION,GREEN DIAMOND RESOURCE COMPANY,,T20N R7W S16,5,300,147,N,Dummy,10-19-2016,47.218855,-123.564927,FALSE,2016-10-19T07:00:00Z
OL20160178,OLY REGION,GREEN DIAMOND RESOURCE COMPANY,,T21N R7W S35,11,111,111,N,Dummy,10-19-2016,47.265462,-123.53723,FALSE,2016-10-19T07:00:00Z
OL20160141,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R15W S24,30,170,99,N,,10-19-2016,48.258983,-124.568442,FALSE,2016-10-19T07:00:00Z
OL20160142,OLY REGION,PACIFIC WEST TIMBER C/O CAMPBELL GLOBAL,,T32N R14W S8,70,163,98,N,,10-19-2016,48.28655,-124.530421,FALSE,2016-10-19T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,65,350,0,N,,10-19-2016,47.917777,-124.38618,FALSE,2016-10-19T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,80,475,0,N,,10-19-2016,47.917777,-124.38618,FALSE,2016-10-19T07:00:00Z
OL20160066,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T30N R14W S2,40,180,180,Y,,10-19-2016,48.131241,-124.463859,FALSE,2016-10-19T07:00:00Z
OL20160071,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T31N R13W S21,200,540,440,Y,,10-19-2016,48.173649,-124.381062,FALSE,2016-10-19T07:00:00Z
OL20160118,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R10W S10,20,129,0,Y,,10-19-2016,47.235813,-123.908779,FALSE,2016-10-19T07:00:00Z
OL20160119,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S5,68,524,440,Y,,10-19-2016,47.251999,-124.077737,FALSE,2016-10-19T07:00:00Z
OL20160126,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S8,71,602,0,Y,,10-19-2016,47.237412,-124.07755,FALSE,2016-10-19T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,Y,,10-19-2016,46.498122,-122.084049,FALSE,2016-10-19T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,Y,,10-19-2016,46.436456,-122.230388,FALSE,2016-10-19T07:00:00Z
PC20160259,PC REGION,PORT BLAKELY TREE FARMS L.P.,EAST 20 UNIT,T11N R5E S20,20,247,247,Y,,10-19-2016,46.422169,-122.208818,FALSE,2016-10-19T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,67,Y,,10-19-2016,46.422082,-122.230237,FALSE,2016-10-19T07:00:00Z
PC20160346,PC REGION,WA DNR PACIFIC CASCADE REGION,FOSSIL CREEK-DNR-CALLAHAN,T11N R7W S36,161,400,300,Y,,10-19-2016,46.390878,-123.4928,FALSE,2016-10-19T07:00:00Z
SE20160042,SE REGION,HANCOCK FOREST MANAGMENT,HANCOCK DOZER EAST SK,T6N R13E S29,25,235,235,Y,,10-19-2016,45.979102,-121.209226,FALSE,2016-10-19T07:00:00Z
SE20160057,SE REGION,STEVENSON LUMBER COMPANY,CABIN FEVER,T4N R12E S21,65,381,0,N,,10-19-2016,45.819149,-121.311656,FALSE,2016-10-19T07:00:00Z
SE20150425,SE REGION,WA DNR STATE TRUST LANDS,SNAG SALVAGE - 183 PILES,T19N R19E S26,300,400,400,Y,,10-19-2016,47.110696,-120.423107,FALSE,2016-10-19T07:00:00Z
10002336,WENATCHEE NF,CLE ELUM,COOPER CHICK HANDPILES,T22N R13E S3,50,250,250,Y,,10-19-2016,47.42956,-121.2078,FALSE,2016-10-19T07:00:00Z
10002434,WENATCHEE NF,CLE ELUM,TEANAWAY REOFFER HANDPILES,T22N R15E S13,49,147,0,,,10-19-2016,47.39017,-120.90514,FALSE,2016-10-19T07:00:00Z
10002401,WENATCHEE NF,ENTIAT,TYEE PILES 2016,T27N R19E S27,59,295,NA,Y,,10-19-2016,47.804,-120.439,FALSE,2016-10-19T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,35,200,NA,Y,,10-20-2016,48.270386,-117.405991,FALSE,2016-10-20T07:00:00Z
10002431,COLVILLE NF,SULLIVAN LAKE,SCOTCHMAN GRAPPLE PILES,T36N R44E S18,35,200,NA,Y,,10-20-2016,48.617148,-117.300582,FALSE,2016-10-20T07:00:00Z
10002402,COLVILLE NF,THREE RIVERS,FINN GRAPPLE PILES,T38N R41E S22,50,300,0,Y,,10-20-2016,48.773746,-117.627337,FALSE,2016-10-20T07:00:00Z
NE20150418,NE REGION,MERRITT BROS LUMBER CO INC,,T30N R45E S7,50,100,10,N,,10-20-2016,48.111453,-117.164567,FALSE,2016-10-20T07:00:00Z
OL20160193,OLY REGION,GREEN CROW CORPORATION,6009 1,T20N R11W S16,31,214,0,Y,,10-20-2016,47.222681,-124.056225,FALSE,2016-10-20T07:00:00Z
OL20160194,OLY REGION,GREEN CROW CORPORATION,6009,T20N R11W S16,48,304,275,Y,,10-20-2016,47.222681,-124.056225,FALSE,2016-10-20T07:00:00Z
OL20160195,OLY REGION,GREEN CROW CORPORATION,6009 3,T20N R11W S16,56,469,379,Y,,10-20-2016,47.222681,-124.056225,FALSE,2016-10-20T07:00:00Z
OL20160196,OLY REGION,GREEN CROW CORPORATION,JOE CREEK,T20N R11W S16,80,300,200,Y,,10-20-2016,47.222681,-124.056225,FALSE,2016-10-20T07:00:00Z
OL20160167,OLY REGION,GREEN CROW TIMBER,,T31N R15W S27,103,436,NA,Y,,10-20-2016,48.16058,-124.613934,FALSE,2016-10-20T07:00:00Z
OL20160174,OLY REGION,GREEN DIAMOND RESOURCE COMPANY,,T20N R7W S16,24,299,299,Y,,10-20-2016,47.218855,-123.564927,FALSE,2016-10-20T07:00:00Z
OL20160178,OLY REGION,GREEN DIAMOND RESOURCE COMPANY,,T21N R7W S35,23,224,224,Y,,10-20-2016,47.265462,-123.53723,FALSE,2016-10-20T07:00:00Z
OL20160237,OLY REGION,GREEN DIAMOND RESOURCE COMPANY,,T21N R7W S14,50,191,NA,Y,,10-20-2016,47.309059,-123.537332,FALSE,2016-10-20T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,60,350,0,N,,10-20-2016,47.917777,-124.38618,FALSE,2016-10-20T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,75,475,0,N,,10-20-2016,47.917777,-124.38618,FALSE,2016-10-20T07:00:00Z
OL20160055,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T29N R12W S33,50,250,0,Y,,10-20-2016,47.974983,-124.256201,FALSE,2016-10-20T07:00:00Z
OL20160072,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T29N R12W S33,75,510,0,Y,,10-20-2016,47.974983,-124.256201,FALSE,2016-10-20T07:00:00Z
OL20160118,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R10W S10,20,129,0,Y,,10-20-2016,47.235813,-123.908779,FALSE,2016-10-20T07:00:00Z
OL20160126,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S8,71,602,202,Y,,10-20-2016,47.237412,-124.07755,FALSE,2016-10-20T07:00:00Z
PC20160254,PC REGION,PORT BLAKELY TREE FARMS L.P.,TIMBER DEED UNIT,T12N R6E S29,41,111,0,N,,10-20-2016,46.498122,-122.084049,FALSE,2016-10-20T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,375,Y,,10-20-2016,46.436456,-122.230388,FALSE,2016-10-20T07:00:00Z
PC20150458,PC REGION,PORT BLAKELY TREE FARMS LP,FURTHER DOWN,T11N R5E S19,21,137,70,Y,,10-20-2016,46.422082,-122.230237,FALSE,2016-10-20T07:00:00Z
SE20160041,SE REGION,HANCOCK FOREST MANAGEMENT,HANCOCK TIGER YK,T6N R13E S35,30,225,225,Y,,10-20-2016,45.964627,-121.146146,FALSE,2016-10-20T07:00:00Z
SE20160044,SE REGION,HANCOCK FOREST MANAGEMENT,HANCOCK-SOUNDERS-SK,T6N R11E S6,49,277,24,Y,,10-20-2016,46.036787,-121.478192,FALSE,2016-10-20T07:00:00Z
SE20160060,SE REGION,STEVENSON LUMBER COMPANY,FOUR,T4N R12E S24,124,529,0,N,Coordinates need to be corrected This plotted in Clark County (PC Region),10-20-2016,45.931269,-122.629103,FALSE,2016-10-20T07:00:00Z
SE20150425,SE REGION,WA DNR STATE TRUST LANDS,SNAG SALVAGE - 183 PILES,T19N R19E S26,300,400,NA,Y,,10-20-2016,47.110696,-120.423107,FALSE,2016-10-20T07:00:00Z
OL20160193,OLY REGION,GREEN CROW CORPORATION,6009 1,T20N R11W S16,31,214,180,Y,NA,10-21-2016,47.222681,-124.056225,NA,2016-10-21T07:00:00Z
OL20160194,OLY REGION,GREEN CROW CORPORATION,6009,T20N R11W S16,48,304,0,Y,NA,10-21-2016,47.222681,-124.056225,NA,2016-10-21T07:00:00Z
OL20160198,OLY REGION,GREEN CROW CORPORATION,6011 1 OF 4,T21N R11W S36,38,318,0,Y,NA,10-21-2016,47.266436,-124.022907,NA,2016-10-21T07:00:00Z
OL20160168,OLY REGION,GREEN CROW TIMBER,,T31N R15W S24,37,523,NA,Y,NA,10-21-2016,48.175083,-124.570405,NA,2016-10-21T07:00:00Z
OL20160033,OLY REGION,RAYONIER WASHINGTON TIMBER CO,25N13W349,T25N R13W S23,10,530,530,Y,NA,10-21-2016,47.656771,-124.344424,NA,2016-10-21T07:00:00Z
OL20160036,OLY REGION,RAYONIER WASHINGTON TIMBER CO,26N12W319,T26N R12W S23,10,340,0,Y,NA,10-21-2016,47.743987,-124.216257,NA,2016-10-21T07:00:00Z
OL20160037,OLY REGION,RAYONIER WASHINGTON TIMBER CO,26N12W557,T26N R12W S26,10,240,0,Y,NA,10-21-2016,47.729649,-124.216362,NA,2016-10-21T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,10,350,0,N,NA,10-21-2016,47.917777,-124.38618,NA,2016-10-21T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,10,475,0,N,NA,10-21-2016,47.917777,-124.38618,NA,2016-10-21T07:00:00Z
OL20160118,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R10W S10,20,129,0,Y,NA,10-21-2016,47.235813,-123.908779,NA,2016-10-21T07:00:00Z
OL20160126,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T20N R11W S8,48,400,400,Y,NA,10-21-2016,47.237412,-124.07755,NA,2016-10-21T07:00:00Z
PC20160257,PC REGION,PORT BLAKELY TREE FARMS L.P.,NE 18 UNIT,T11N R5E S18,101,375,0,Y,NA,10-21-2016,46.436456,-122.230388,NA,2016-10-21T07:00:00Z
SE20160040,SE REGION,HANCOCK FOREST MANAGEMENT,HANCOCK SEDGEWICK YK,T5N R13E S30,148,141,141,Y,NA,10-21-2016,45.891516,-121.228072,NA,2016-10-21T07:00:00Z
SE20160044,SE REGION,HANCOCK FOREST MANAGEMENT,HANCOCK-SOUNDERS-SK,T6N R11E S6,49,277,75,N,NA,10-21-2016,46.036787,-121.478192,NA,2016-10-21T07:00:00Z
SE20160039,SE REGION,HANCOCK FOREST MANAGMENT,HANCOK BORDERLINE YK,T7N R12E S3,98,750,NA,Y,NA,10-21-2016,46.12488,-121.291869,NA,2016-10-21T07:00:00Z
SE20150425,SE REGION,WA DNR STATE TRUST LANDS,SNAG SALVAGE - 183 PILES,T19N R19E S26,200,300,300,Y,NA,10-21-2016,47.110696,-120.423107,NA,2016-10-21T07:00:00Z
10002436,WENATCHEE NF,CLE ELUM,BIG WINDY,T19N R13E S7,78,312,120,Y,NA,10-21-2016,47.15464,-121.2654,NA,2016-10-21T07:00:00Z
10001998,WENATCHEE NF,NACHES,ELDERBERRY GRAPPLE 2015,T14N R15E S16,100,400,144,Y,NA,10-21-2016,46.70237,-120.96101,NA,2016-10-21T07:00:00Z
10001999,WENATCHEE NF,NACHES,LOST SPENCER 2015,T13N R14E S18,100,300,0,Y,NA,10-21-2016,46.6217,-121.1305,NA,2016-10-21T07:00:00Z
OL20160198,OLY REGION,GREEN CROW CORPORATION,6011 1 OF 4,T21N R11W S36,38,318,159,Y,NA,10-22-2016,47.266436,-124.022907,NA,2016-10-22T07:00:00Z
OL20160199,OLY REGION,GREEN CROW CORPORATION,6011 2 OF 4,T21N R11W S36,30,237,0,Y,NA,10-22-2016,47.266436,-124.022907,NA,2016-10-22T07:00:00Z
OL20160200,OLY REGION,GREEN CROW CORPORATION,6011 3 OF 4,T21N R11W S36,33,153,0,Y,NA,10-22-2016,47.266436,-124.022907,NA,2016-10-22T07:00:00Z
OL20160201,OLY REGION,GREEN CROW CORPORATION,3011 4 OF 4,T21N R11W S36,41,203,0,Y,NA,10-22-2016,47.266436,-124.022907,NA,2016-10-22T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,10,475,0,N,NA,10-22-2016,47.917777,-124.38618,NA,2016-10-22T07:00:00Z
SE20160056,SE REGION,STEVENSON LUMBER COMPANY,BAKER,T4N R12E S31,152,470,455,Y,NA,10-22-2016,45.79006,-121.353189,NA,2016-10-22T07:00:00Z
SE20160057,SE REGION,STEVENSON LUMBER COMPANY,CABIN FEVER,T4N R12E S21,45,282,183,Y,NA,10-22-2016,45.819149,-121.311656,NA,2016-10-22T07:00:00Z
SE20160069,SE REGION,6 S COMPANY,6 S CO,T5N R13E S35,30,261,220,Y,NA,10-23-2016,45.87637,-121.144911,NA,2016-10-23T07:00:00Z
SE20160056,SE REGION,STEVENSON LUMBER COMPANY,BAKER,T4N R12E S31,152,470,0,Y,NA,10-23-2016,45.79006,-121.353189,NA,2016-10-23T07:00:00Z
SE20160057,SE REGION,STEVENSON LUMBER COMPANY,CABIN FEVER,T4N R12E S21,45,282,0,Y,NA,10-23-2016,45.819149,-121.311656,NA,2016-10-23T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,43,250,NA,Y,,10-24-2016,48.270386,-117.405991,FALSE,2016-10-24T07:00:00Z
10002413,COLVILLE NF,NEWPORT,NINEBARK T.S. PILES,T32N R42E S9,30,650,NA,Y,,10-24-2016,48.28652,-117.50374,FALSE,2016-10-24T07:00:00Z
10002302,OKANOGAN NF,TONASKET,LOST HAND PILES,T35N R30E S24,45,100,22,,,10-24-2016,48.521653,-119.018623,FALSE,2016-10-24T07:00:00Z
10002306,OKANOGAN NF,TONASKET,FROSTED EXC,T36N R31E S8,50,200,100,,,10-24-2016,48.624906,-118.967348,FALSE,2016-10-24T07:00:00Z
OL20160198,OLY REGION,GREEN CROW CORPORATION,6011 1 OF 4,T21N R11W S36,38,318,125,Y,,10-24-2016,47.266436,-124.022907,FALSE,2016-10-24T07:00:00Z
OL20160199,OLY REGION,GREEN CROW CORPORATION,6011 2 OF 4,T21N R11W S36,30,237,150,Y,,10-24-2016,47.266436,-124.022907,FALSE,2016-10-24T07:00:00Z
OL20160200,OLY REGION,GREEN CROW CORPORATION,6011 3 OF 4,T21N R11W S36,33,153,0,Y,,10-24-2016,47.266436,-124.022907,FALSE,2016-10-24T07:00:00Z
OL20160201,OLY REGION,GREEN CROW CORPORATION,3011 4 OF 4,T21N R11W S36,41,203,0,Y,,10-24-2016,47.266436,-124.022907,FALSE,2016-10-24T07:00:00Z
OL20160165,OLY REGION,GREEN CROW TIMBER,,T31N R14W S36,110,600,NA,Y,,10-24-2016,48.145375,-124.442282,FALSE,2016-10-24T07:00:00Z
OL20160034,OLY REGION,RAYONIER WASHINGTON TIMBER CO,26N12W167,T26N R12W S25,10,650,NA,Y,,10-24-2016,47.729499,-124.194945,FALSE,2016-10-24T07:00:00Z
OL20160036,OLY REGION,RAYONIER WASHINGTON TIMBER CO,26N12W319,T26N R12W S23,10,340,NA,Y,,10-24-2016,47.743987,-124.216257,FALSE,2016-10-24T07:00:00Z
OL20160037,OLY REGION,RAYONIER WASHINGTON TIMBER CO,26N12W557,T26N R12W S26,10,240,NA,Y,,10-24-2016,47.729649,-124.216362,FALSE,2016-10-24T07:00:00Z
OL20160115,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T19N R11W S13,92,232,200,Y,,10-24-2016,47.135611,-123.992178,FALSE,2016-10-24T07:00:00Z
OL20160116,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T19N R11W S27,111,396,0,Y,,10-24-2016,47.106462,-124.035565,FALSE,2016-10-24T07:00:00Z
OL20160117,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T19N R11W S23,67,208,0,Y,,10-24-2016,47.121083,-124.013695,FALSE,2016-10-24T07:00:00Z
PC20150175,PC REGION,RAYONIER INC,11N07W142,T11N R7W S27,87,312,300,Y,,10-24-2016,46.40544,-123.532905,FALSE,2016-10-24T07:00:00Z
SE20160044,SE REGION,HANCOCK FOREST MANAGEMENT,HANCOCK-SOUNDERS-SK,T6N R11E S6,49,178,178,Y,,10-24-2016,46.036787,-121.478192,FALSE,2016-10-24T07:00:00Z
SE20160039,SE REGION,HANCOCK FOREST MANAGMENT,HANCOK BORDERLINE YK,T7N R12E S3,89,750,120,Y,,10-24-2016,46.12488,-121.291869,FALSE,2016-10-24T07:00:00Z
SE20160049,SE REGION,STEVENSON LUMBER COMPANY,KIMMIE SUE 1,T4N R12E S23,70,248,240,Y,,10-24-2016,45.819352,-121.270511,FALSE,2016-10-24T07:00:00Z
SE20160060,SE REGION,STEVENSON LUMBER COMPANY,FOUR,T4N R12E S24,124,529,99,N,Coordinates need to be corrected. Plotting is showing it in Clark County.,10-24-2016,45.931269,-122.629103,FALSE,2016-10-24T07:00:00Z
10002436,WENATCHEE NF,CLE ELUM,BIG WINDY,T19N R13E S7,48,192,192,,,10-24-2016,47.15464,-121.2654,FALSE,2016-10-24T07:00:00Z
10001916,COLVILLE NF,NEWPORT,FLOWERY TRAIL GRAPPLE PILES,T32N R43E S17,30,300,NA,Y,,10-25-2016,48.270386,-117.405991,FALSE,2016-10-25T07:00:00Z
10002413,COLVILLE NF,NEWPORT,NINEBARK T.S. PILES,T32N R42E S9,30,650,NA,Y,,10-25-2016,48.28652,-117.50374,FALSE,2016-10-25T07:00:00Z
NE20160283,NE REGION,"HEMINGWAY, GARY",,T31N R41E S23,48,391,NA,Y,Approved with no conditions per NC 26 - Smith,10-25-2016,48.171007,-117.596502,FALSE,2016-10-25T07:00:00Z
NE20160321,NE REGION,INLAND PAPER COMPANY,HIPPIE JOHN SLASH,T29N R45E S22,200,398,NA,Y,Approved with no conditions per AR 10 - Stenbeck,10-25-2016,47.994841,-117.102708,FALSE,2016-10-25T07:00:00Z
NE20160322,NE REGION,INLAND PAPER COMPANY,TURKEY TRACKS COMBO,T28N R45E S12,179,168,NA,Y,Approved with no conditions per AR 10 - Stenbeck,10-25-2016,47.938802,-117.056686,FALSE,2016-10-25T07:00:00Z
NE20150418,NE REGION,MERRITT BROS LUMBER CO INC,,T30N R45E S7,50,100,80,N,,10-25-2016,48.111453,-117.164567,FALSE,2016-10-25T07:00:00Z
NE20150323,NE REGION,STIMSON LUMBER COMPANY,BUNNIES FOOT,T32N R42E S6,86,320,NA,Y,Approved with no conditions per AR 10 - Stenbeck,10-25-2016,48.302168,-117.55447,FALSE,2016-10-25T07:00:00Z
NE20160263,NE REGION,STIMSON LUMBER COMPANY,SKI BUNNY,T32N R42E S5,2,392,NA,Y,Approved with no conditions per AR 10 - Stenbeck,10-25-2016,48.302196,-117.5329,FALSE,2016-10-25T07:00:00Z
NW20151076,NW REGION,SIERRA PACIFIC,STILLWATER,T28N R8E S23,31,126,NA,Y,,10-25-2016,47.899057,-121.73952,FALSE,2016-10-25T07:00:00Z
NW20151082,NW REGION,SIERRA PACIFIC,SLEEPWALK,T28N R9E S18,102,325,NA,Y,,10-25-2016,47.90812,-121.695986,FALSE,2016-10-25T07:00:00Z
10002422,OKANOGAN NF,METHOW VALLEY,2016 EIGHTMILE PILES,T36N R21E S21,94,270,NA,,,10-25-2016,48.36149,-120.09949,FALSE,2016-10-25T07:00:00Z
10002306,OKANOGAN NF,TONASKET,FROSTED EXC,T36N R31E S8,60,300,NA,,,10-25-2016,48.624906,-118.967348,FALSE,2016-10-25T07:00:00Z
OL20160165,OLY REGION,GREEN CROW TIMBER,,T31N R14W S36,110,629,NA,Y,,10-25-2016,48.145375,-124.442282,FALSE,2016-10-25T07:00:00Z
OL20160168,OLY REGION,GREEN CROW TIMBER,,T31N R15W S24,20,300,NA,Y,,10-25-2016,48.175083,-124.570405,FALSE,2016-10-25T07:00:00Z
OL20160244,OLY REGION,GREEN DIAMOND RESOURCE COMPANY,,T21N R8W S15,53,430,63,Y,,10-25-2016,47.308007,-123.686085,FALSE,2016-10-25T07:00:00Z
OL20160042,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,10,340,NA,N,,10-25-2016,47.917777,-124.38618,FALSE,2016-10-25T07:00:00Z
OL20160043,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T28N R13W S21,10,475,NA,N,,10-25-2016,47.917777,-124.38618,FALSE,2016-10-25T07:00:00Z
OL20160107,OLY REGION,RAYONIER WASHINGTON TIMBER COMPANY,,T18N R10W S7,87,516,0,Y,,10-25-2016,47.061525,-123.973868,FALSE,2016-10-25T07:00:00Z
