Time,Conc(ug/m3),Qtot(m3),AT(C),WS(MPS),no(V),RH(%),Delta(C),AT(C),E,U,M,I,L,R,N,F,P,D,C,T,
08/27/18 23:00,     -5, 0.834,  26.1,   2.1, 0.009,    20,  37.2,   7.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 00:00,     -5, 0.834,  24.9,   2.1, 0.009,    21,  37.4,   6.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 01:00,      3, 0.834,  25.6,   2.1, 0.009,    21,  37.3,   5.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 02:00,      4, 0.834,  25.7,   2.1, 0.009,    21,  37.3,   4.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 03:00,      5, 0.834,  25.7,   2.1, 0.009,    21,  37.3,   3.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 04:00,      6, 0.834,  25.7,   2.1, 0.009,    22,  37.4,   3.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 05:00,      2, 0.834,  25.7,   2.1, 0.009,    22,  37.4,   2.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 06:00,      3, 0.834,  25.7,   2.1, 0.009,    23,  37.4,   4.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 07:00,      4, 0.834,  25.7,   2.1, 0.009,    23,  37.4,   6.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 08:00,      6, 0.834,  26.4,   2.1, 0.009,    23,  37.3,   9.4,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 09:00,     16, 0.834,  29.0,   2.2, 0.009,    22,  37.1,  14.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 10:00,      9, 0.834,  29.7,   2.3, 0.009,    21,  37.1,  17.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 11:00,      8, 0.834,  30.2,   2.3, 0.009,    20,  37.1,  20.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 12:00,      8, 0.834,  30.4,   2.3, 0.009,    19,  37.1,  21.3,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 13:00,      8, 0.834,  30.6,   2.3, 0.009,    18,  37.0,  23.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 14:00,      6, 0.834,  30.9,   2.3, 0.009,    17,  37.0,  23.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 15:00,      4, 0.834,  30.9,   2.3, 0.009,    16,  37.0,  24.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 16:00,      3, 0.834,  30.7,   2.3, 0.009,    16,  37.0,  24.5,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 17:00,      5, 0.834,  30.4,   2.3, 0.009,    16,  37.0,  24.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 18:00,      6, 0.834,  30.2,   2.3, 0.009,    16,  37.1,  23.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 19:00,      6, 0.834,  29.7,   2.3, 0.009,    17,  37.1,  20.7,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 20:00,      6, 0.834,  29.4,   2.2, 0.009,    18,  37.1,  17.2,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 21:00,      4, 0.834,  29.3,   2.2, 0.009,    19,  37.1,  13.6,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 22:00,      3, 0.834,  28.7,   2.2, 0.009,    20,  37.1,  10.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/28/18 23:00,      3, 0.834,  27.4,   2.2, 0.009,    21,  37.2,   9.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 00:00,      0, 0.834,  26.0,   2.1, 0.009,    22,  37.3,   8.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 01:00,     -2, 0.834,  25.0,   2.1, 0.009,    23,  37.4,   6.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 02:00,      0, 0.834,  25.5,   2.1, 0.009,    23,  37.4,   5.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 03:00,      6, 0.834,  25.7,   2.1, 0.009,    23,  37.4,   5.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 04:00,      5, 0.834,  25.7,   2.1, 0.009,    23,  37.4,   4.1,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 05:00,      6, 0.834,  25.7,   2.1, 0.009,    22,  37.4,   3.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 06:00,      8, 0.834,  25.7,   2.1, 0.009,    22,  37.4,   3.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 07:00,      7, 0.834,  25.5,   2.1, 0.009,    23,  37.4,   5.9,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 08:00,     10, 0.834,  26.8,   2.2, 0.009,    22,  37.3,  12.0,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 09:00,     12, 0.834,  29.5,   2.2, 0.009,    19,  37.1,  17.8,0,0,0,0,0,0,0,0,0,0,0,0,
08/29/18 10:00,     13, 0.834,  30.0,   2.3, 0.009,    18,  37.1,  19.6,0,0,0,0,0,0,0,0,0,0,0,0,
